"filename", "language", "Markdown", "YAML", "Dart", "C++", "JSON", "HTML", "XML", "Log", "comment", "blank", "total"
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/widgets/login_action.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 55
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/widgets/login_body.dart", "Dart", 0, 0, 103, 0, 0, 0, 0, 0, 0, 4, 107
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/widgets/login_content.dart", "Dart", 0, 0, 103, 0, 0, 0, 0, 0, 0, 8, 111
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/widgets/login_header.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 4, 64
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/widgets/register_content.dart", "Dart", 0, 0, 118, 0, 0, 0, 0, 0, 10, 6, 134
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/widgets/vk_button.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 4, 51
"/Users/macbook/git/mote/mote_app/lib/screens/anon_chat_screen/view/anon_chat_screen.dart", "Dart", 0, 0, 111, 0, 0, 0, 0, 0, 0, 13, 124
"/Users/macbook/git/mote/mote_app/lib/screens/anon_chat_screen/widgets/anon_chat_appbar.dart", "Dart", 0, 0, 91, 0, 0, 0, 0, 0, 0, 3, 94
"/Users/macbook/git/mote/mote_app/lib/screens/anon_chat_screen/widgets/anon_chat_bubble.dart", "Dart", 0, 0, 80, 0, 0, 0, 0, 0, 0, 4, 84
"/Users/macbook/git/mote/mote_app/lib/screens/anon_messanger_screen/view/anon_messanger_screen.dart", "Dart", 0, 0, 84, 0, 0, 0, 0, 0, 0, 3, 87
"/Users/macbook/git/mote/mote_app/lib/screens/anon_messanger_screen/widgets/anon_chat_active.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 3, 61
"/Users/macbook/git/mote/mote_app/lib/screens/anon_messanger_screen/widgets/anon_messanger_header.dart", "Dart", 0, 0, 82, 0, 0, 0, 0, 0, 0, 3, 85
"/Users/macbook/git/mote/mote_app/lib/screens/chat_screen/bloc/chat_bloc.dart", "Dart", 0, 0, 128, 0, 0, 0, 0, 0, 0, 16, 144
"/Users/macbook/git/mote/mote_app/lib/screens/chat_screen/bloc/chat_event.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
